,name,rating,review_count,price,distance,category,latitude,longitude
77,The Queen And Beaver Public House,4.0,409,$$,699.7921068840234,,43.653236,-79.376716
78,The Senator,4.0,491,$$,334.0862515727654,,43.653236,-79.376716
79,Blaze Pizza,4.5,583,$$,453.75893722510847,,43.653236,-79.376716
80,KINKA IZAKAYA ORIGINAL,4.0,1804,$$,383.3225709992662,,43.663722,-79.380288
81,Kintaro Izakaya,4.0,240,$$,52.83519430742135,,43.663722,-79.380288
82,Katsuya,4.5,488,$$,432.97510803376827,,43.663722,-79.380288
83,Hair of the Dog,4.0,366,$$,102.74360938293962,,43.663722,-79.380288
84,The Queen And Beaver Public House,4.0,409,$$,750.2916296459066,,43.663722,-79.380288
85,The Keg Steakhouse + Bar,4.0,374,$$$,394.84063329992716,,43.663722,-79.380288
86,Zakkushi On Carlton,4.0,328,$$$,776.2966814316801,,43.663722,-79.380288
87,Barberian's Steak House,4.0,316,$$$$,696.21324897609,,43.663722,-79.380288
88,KINTON RAMEN,4.0,225,$$,384.9576600862846,,43.663722,-79.380288
89,George Restaurant,4.5,295,$$$$,1246.6380751636868,,43.663722,-79.380288
90,Storm Crow Manor,4.0,141,$$,353.79213063846925,,43.663722,-79.380288
91,Adega Restaurante,4.0,161,$$$,751.0865343177519,,43.663722,-79.380288
92,Richmond Station,4.5,887,$$$,1375.5243816013794,,43.663722,-79.380288
93,The House On Parliament,4.0,316,$$,995.6925806320572,,43.663722,-79.380288
94,Pai Northern Thai Kitchen,4.5,3398,$$,1888.0873244071365,,43.663722,-79.380288
95,Si Lom Thai Bistro,4.0,200,$$,150.84693891511927,,43.663722,-79.380288
96,Blaze Pizza,4.5,583,$$,799.808094068116,,43.663722,-79.380288
97,Kawa Sushi,3.5,172,$$,33.33698425010088,,43.663722,-79.380288
98,Banh Mi Boys,4.0,511,$,534.0128786609853,,43.663722,-79.380288
99,Hokkaido Ramen Santouka,4.0,892,$$,852.8967085987813,,43.663722,-79.380288
100,Dzo Viet Eatery,4.0,142,$$,425.67483765846924,,43.657763,-79.389165
101,Koh Lipe,4.0,255,$$,404.85474038981516,,43.657763,-79.389165
102,Sansotei Ramen,4.0,938,$$,376.0641585984851,,43.657763,-79.389165
103,KINKA IZAKAYA ORIGINAL,4.0,1804,$$,877.1467901560992,,43.657763,-79.389165
104,Pai Northern Thai Kitchen,4.5,3398,$$,1101.1726111612716,,43.657763,-79.389165
105,Richmond Station,4.5,887,$$$,1066.148496019152,,43.657763,-79.389165
106,The Queen And Beaver Public House,4.0,409,$$,473.2283897255041,,43.657763,-79.389165
107,Barberian's Steak House,4.0,316,$$$$,563.5963305545245,,43.657763,-79.389165
108,Ikkousha Ramen,4.5,298,$$,761.4427670396251,,43.657763,-79.389165
109,Manpuku Japanese Eatery,4.0,516,$,476.09997763424656,,43.657763,-79.389165
110,Aloette,4.5,287,$$$,1160.4742788443261,,43.657763,-79.389165
111,Adega Restaurante,4.0,161,$$$,480.15329879786776,,43.657763,-79.389165
112,Omai Restaurant,4.0,125,$$,337.2432460484341,,43.657763,-79.389165
113,DonDon Izakaya,3.0,338,$$,434.2519382838363,,43.657763,-79.389165
114,Blaze Pizza,4.5,583,$$,746.5335619334622,,43.657763,-79.389165
115,Alo Restaurant,4.5,335,$$$$,1160.9908940425453,,43.657763,-79.389165
116,Katsuya,4.5,488,$$,871.0071250497726,,43.657763,-79.389165
117,Estiatorio Volos,4.0,333,$$$,923.032247466036,,43.657763,-79.389165
